time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward,i_episode,episode_reward,average_distance,average_x,average_y,average_z
1.4400000000000008,-0.310897930154,-1.25044574692,0.0,4.43160888587,5.95228294693,0.0,0.798564177283,-2.74424307994,-14.5104957599,-13.9741869493,13.3681284868,0.0,62.4978734556,444.406284636,691.78754278,534.18056217,0.762103819892,1,19.4132593319,43.7906640941,-0.132576924782,-0.313115597829,6.2122459941
1.4400000000000008,-0.3163873203,-1.22718821447,0.0,4.50016383229,5.95500005606,0.0,0.78583559403,-2.72645037869,-14.3843342126,-13.8890833229,13.3162515764,0.0,61.7509290115,441.386058915,690.757228056,536.507435424,0.762147487417,2,19.4134915556,43.7895253595,-0.133634940587,-0.307825326715,6.21329205787
1.4400000000000008,-0.463251012578,-1.01826688293,0.0,2.6584752418,5.8482240902,0.0,-0.15581747189,-0.88908419402,-13.365932924,-14.054057632,14.250124758,0.0,112.965099479,488.15446074,654.348413774,406.082082102,0.763205805384,3,19.4158348244,43.7804460389,-0.146395240648,-0.290343336843,6.222131295
1.4400000000000008,-0.46728218241,-0.977938125456,0.0,2.73646279542,5.84326580764,0.0,-0.164109338885,-0.788647589959,-13.4106635317,-13.9530428746,14.1757064394,0.0,113.364284395,483.840906683,654.30331248,408.306133838,0.763273320987,4,19.416773579,43.7754004238,-0.147066151988,-0.284615444577,6.22706998109
1.4400000000000008,-0.460110032872,-1.03087387772,0.0,2.61014831107,5.86570410756,0.0,-0.145425651901,-0.917853460759,-13.3217200763,-14.1908283263,14.2751779723,0.0,113.380746118,489.626368103,654.714406815,402.310003094,0.763286794687,5,19.4165330424,43.7767989575,-0.145788691509,-0.294527090452,6.22582066755
1.3200000000000007,1.2121367718,1.67218040038,0.0,3.58670362312,6.09887512403,0.0,8.29620646849,3.02484660551,-20.4867134622,-5.3161027189,5.57777394172,0.0,900.024011647,899.44268611,899.957926858,900.021172722,0.761470499719,6,17.8256152617,43.6018533482,0.109525051828,0.286858977898,6.40269650177
5.0399999999999805,7.66893832963,-7.94994962099,139.729582395,6.10534917341,5.65145890328,0.0,6.46917617911,-4.51059324681,29.5653440199,-0.103848771963,-0.223828011205,0.0,900.517742265,900.51370097,900.554702574,900.35616389,0.201168139709,7,66.4923494955,37.0786625462,1.41344886976,-2.06620616813,69.2526787797
5.0399999999999805,10.6917114347,-3.74735071524,138.557442179,0.0567021111849,5.79096713002,0.0,7.67966886409,-1.12651929731,28.0131811563,0.0285366690401,-0.130413121481,0.0,900.102404124,900.163199134,900.454869944,900.07423631,0.222133161623,8,66.6487200019,36.9685780624,2.33717972995,-1.18162172129,69.1309260886
5.0399999999999805,-9.01476041582,13.8579299575,141.075018121,3.22911085288,0.619220778158,0.0,-10.7946027095,9.96401323428,29.1110375432,-24.306209748,0.299375184669,0.0,900.296964621,900.189620508,900.180034425,0.758990642982,0.159874028901,9,66.0018022118,37.4999127406,-1.18493310334,3.06300186047,69.5783358169
1.620000000000001,-0.16773142987,8.63947139006,0.0,1.14430130909,6.24597896082,0.0,-0.0488401252947,6.09209166822,-15.7517183091,-28.838177967,-0.11337978219,0.0,900.343651514,900.017014438,900.117487528,0.251001160387,0.757887012315,10,21.9888324494,42.9356077924,-0.054035096176,4.09205873078,7.32554021884
1.740000000000001,-0.784220693975,6.74546205977,0.0,3.00959230569,0.0897226186702,0.0,-1.78717342106,3.1437849744,-14.1275537085,-28.8376709185,0.0952985958323,0.0,900.105638126,900.429635281,900.026473004,0.155768764275,0.759548489187,11,23.6008257039,43.0319878202,-0.171328291984,3.17443112239,7.1269951552
1.740000000000001,-0.18027270778,6.74415728827,0.0,3.01304242108,0.0193052597266,0.0,-0.499525013191,3.14511708545,-14.1770110676,-28.8440435021,-0.0459984048123,0.0,900.610838348,900.319501559,900.193354196,0.76910057332,0.759324247031,12,23.5967905342,43.0507014252,-0.0296816105693,3.1732388273,7.10727985596
1.740000000000001,-0.0310527333512,6.77000015133,0.0,3.01792739754,6.27961826227,0.0,-0.035243664087,3.16427974349,-14.1874534227,-28.8394962945,6.71412982697e-05,0.0,900.189859415,900.270060887,900.079317898,0.671381139155,0.759190395883,13,23.5947573557,43.0602383885,-0.00349770320665,3.18537211577,7.0988502151
1.740000000000001,1.21494912677,6.79845071909,0.0,3.02911708316,6.09686623701,0.0,3.04743998465,3.17249978533,-14.1350546618,-28.8510812265,-0.227581601142,0.0,900.49422387,900.303973339,900.426662079,0.154281153111,0.758717934459,14,23.5875291826,43.0943694736,0.244680490155,3.20219711,7.06798386691
1.740000000000001,-0.330677255918,6.76260732382,0.0,3.00904221069,0.0351187625342,0.0,-0.806505954676,3.15507622507,-14.1434318159,-28.8558408958,-0.0224108312734,0.0,900.757075604,900.348087644,900.679559738,0.245001867729,0.759578639507,15,23.6010749394,43.0308481344,-0.065447351068,3.18275060881,7.12824978928
1.740000000000001,1.0257569354,6.76599246566,0.0,3.01445425028,6.10539957086,0.0,2.87977992234,3.15099692167,-14.1017599243,-28.8453602496,-0.18053331472,0.0,900.01222988,900.120509499,900.358553196,0.0474988988039,0.759258710295,16,23.596032679,43.0545920584,0.175770143851,3.1860906379,7.10572370412
